Transaction Date,ATM Name,No Of Withdrawals,Amount withdrawn Card,Amount withdrawn Other Card,Total amount Withdrawn
2019-08-17,Big Street ATM,83,285930,724950,1010880
2019-08-18,Big Street ATM,151,839560,1935000,2774560
2019-08-19,Big Street ATM,131,590080,1377900,1967980
2019-08-20,Big Street ATM,129,854140,1063350,1917490
2019-08-21,Big Street ATM,99,674320,1018350,1692670
2019-08-22,Big Street ATM,59,246640,526500,773140
2019-08-23,Big Street ATM,107,436180,1396350,1832530
2019-08-24,Big Street ATM,122,611960,1211850,1823810
2019-08-25,Big Street ATM,135,515560,1121400,1636960
2019-08-26,Big Street ATM,116,810000,935550,1745550
2019-08-27,Big Street ATM,125,628160,1079100,1707260
2019-08-28,Big Street ATM,135,429300,1109700,1539000
2019-08-29,Big Street ATM,141,516380,1340100,1856480
2019-08-30,Big Street ATM,136,807160,1246050,2053210
2019-08-31,Big Street ATM,143,910840,1484100,2394940
2019-09-01,Big Street ATM,165,1118080,1858770,2976850
2019-09-02,Big Street ATM,150,1226580,1388950,2615530
2019-09-03,Big Street ATM,120,784890,1274380,2059270
2019-09-04,Big Street ATM,175,519530,2208460,2727990
2019-09-05,Big Street ATM,160,594710,1753300,2348010
2019-09-06,Big Street ATM,147,1113790,1633900,2747690
2019-09-07,Big Street ATM,98,368040,966880,1334920
2019-09-08,Big Street ATM,153,1457190,1339890,2797080
2019-09-09,Big Street ATM,83,421760,1000090,1421850
2019-09-10,Big Street ATM,35,327040,257360,584400
2019-09-11,Big Street ATM,152,401680,1648010,2049690
2019-09-12,Big Street ATM,137,709060,1417880,2126940
2019-09-13,Big Street ATM,112,711400,845170,1556570
2019-09-14,Big Street ATM,106,818750,1172630,1991380
2019-09-15,Big Street ATM,105,844910,799000,1643910
2019-09-16,Big Street ATM,53,231620,600640,832260
2019-09-17,Big Street ATM,87,337040,787880,1124920
2019-09-18,Big Street ATM,133,310500,1276520,1587020
2019-09-19,Big Street ATM,87,298570,779330,1077900
2019-09-20,Big Street ATM,108,590210,975560,1565770
2019-09-21,Big Street ATM,124,487860,1404760,1892620
2019-09-22,Big Street ATM,115,816440,985820,1802260
2019-09-23,Big Street ATM,109,806440,555750,1362190
2019-09-24,Big Street ATM,129,621380,1031980,1653360
2019-09-25,Big Street ATM,130,361280,764370,1125650
2019-09-26,Big Street ATM,136,1165400,916130,2081530
2019-09-27,Big Street ATM,115,809510,838330,1647840
2019-09-28,Big Street ATM,139,1349320,925110,2274430
2019-09-29,Big Street ATM,110,377060,969570,1346630
2019-09-30,Big Street ATM,88,591740,924260,1516000
2019-10-01,Big Street ATM,105,724160,1581090,2305250
2019-10-02,Big Street ATM,122,352220,1968060,2320280
2019-10-03,Big Street ATM,96,1027930,1608020,2635950
2019-10-04,Big Street ATM,102,394100,1640420,2034520
2019-10-05,Big Street ATM,132,1379940,2109040,3488980
2019-10-06,Big Street ATM,137,1765740,2200600,3966340
2019-10-07,Big Street ATM,95,395280,809360,1204640
2019-10-08,Big Street ATM,60,273980,757420,1031400
2019-10-09,Big Street ATM,107,465100,1699590,2164690
2019-10-10,Big Street ATM,86,506070,680650,1186720
2019-10-11,Big Street ATM,36,99740,193490,293230
2019-10-12,Big Street ATM,122,514710,1139290,1654000
2019-10-13,Big Street ATM,137,1514290,1950530,3464820
2019-10-14,Big Street ATM,86,1069060,855350,1924410
2019-10-15,Big Street ATM,132,786730,1676890,2463620
2019-10-16,Big Street ATM,86,134700,835940,970640
2019-10-17,Big Street ATM,93,867330,665620,1532950
2019-10-18,Big Street ATM,54,270510,378210,648720
2019-10-19,Big Street ATM,102,1118660,1314340,2433000
2019-10-20,Big Street ATM,119,1508640,1560430,3069070
2019-10-21,Big Street ATM,77,764190,1356920,2121110
2019-10-22,Big Street ATM,130,600180,2310580,2910760
2019-10-23,Big Street ATM,96,781090,1278660,2059750
2019-10-24,Big Street ATM,76,448040,1091420,1539460
2019-10-25,Big Street ATM,107,1189100,1246080,2435180
2019-10-26,Big Street ATM,119,1842830,1757040,3599870
2019-10-27,Big Street ATM,129,1326620,1464620,2791240
2019-10-28,Big Street ATM,24,484650,484650,969300
2019-10-29,Big Street ATM,72,429430,1070140,1499570
2019-10-30,Big Street ATM,103,334760,1609890,1944650
2019-10-31,Big Street ATM,1,5640,0,5640
2019-11-01,Big Street ATM,168,1866620,3435200,5301820
2019-11-02,Big Street ATM,75,1126260,1595880,2722140
2019-11-03,Big Street ATM,126,1831530,3109820,4941350
2019-11-04,Big Street ATM,100,1339710,1827700,3167410
2019-11-05,Big Street ATM,141,2462120,3003180,5465300
2019-11-06,Big Street ATM,156,1465250,3190140,4655390
2019-11-07,Big Street ATM,113,1044240,2022340,3066580
2019-11-08,Big Street ATM,109,945000,1743340,2688340
2019-11-09,Big Street ATM,180,3767270,3137500,6904770
2019-11-10,Big Street ATM,157,890700,2382680,3273380
2019-11-11,Big Street ATM,4,57280,0,57280
2019-11-12,Big Street ATM,18,26490,179490,205980
2019-11-13,Big Street ATM,145,196190,1933990,2130180
2019-11-14,Big Street ATM,1,1430,0,1430
2019-11-15,Big Street ATM,76,375890,782820,1158710
2019-11-16,Big Street ATM,10,133170,0,133170
2019-11-17,Big Street ATM,4,35800,31820,67620
2019-11-18,Big Street ATM,5,53710,19890,73600
2019-11-19,Big Street ATM,17,225540,79560,305100
2019-11-20,Big Street ATM,15,113120,53300,166420
2019-11-21,Big Street ATM,112,863490,1828990,2692480
2019-11-22,Big Street ATM,2,15030,0,15030
2019-11-23,Big Street ATM,5,46540,800,47340
2019-11-24,Big Street ATM,8,71600,31020,102620
2019-11-25,Big Street ATM,19,78760,147970,226730
2019-11-26,Big Street ATM,143,2309820,1533830,3843650
2019-11-27,Big Street ATM,129,1062550,1626900,2689450
2019-11-28,Big Street ATM,4,3570,23860,27430
2019-11-29,Big Street ATM,149,2518880,2062880,4581760
2019-11-30,Big Street ATM,22,68030,176610,244640
2019-12-01,Big Street ATM,23,17860,162230,180090
2019-12-02,Big Street ATM,148,542070,2186920,2728990
2019-12-03,Big Street ATM,133,1051090,1303820,2354910
2019-12-04,Big Street ATM,132,788110,1531540,2319650
2019-12-05,Big Street ATM,163,660140,1965840,2625980
2019-12-06,Big Street ATM,140,1138800,1416410,2555210
2019-12-07,Big Street ATM,160,981270,1882640,2863910
2019-12-08,Big Street ATM,118,923610,1134070,2057680
2019-12-09,Big Street ATM,141,1276650,1277320,2553970
2019-12-10,Big Street ATM,129,1288180,1395100,2683280
2019-12-11,Big Street ATM,142,1239520,1061210,2300730
2019-12-12,Big Street ATM,157,569400,2044890,2614290
2019-12-13,Big Street ATM,137,1233720,1360870,2594590
2019-12-14,Big Street ATM,104,880960,887070,1768030
2019-12-15,Big Street ATM,143,896160,1679380,2575540
2019-12-16,Big Street ATM,112,954190,992250,1946440
2019-12-17,Big Street ATM,116,488940,866230,1355170
2019-12-18,Big Street ATM,121,1131910,944120,2076030
2019-12-19,Big Street ATM,149,675570,1265610,1941180
2019-12-20,Big Street ATM,145,1051090,1425860,2476950
2019-12-21,Big Street ATM,144,879180,1478450,2357630
2019-12-22,Big Street ATM,144,1141280,1603970,2745250
2019-12-23,Big Street ATM,122,1063140,1284960,2348100
2019-12-24,Big Street ATM,73,588500,508530,1097030
2019-12-25,Big Street ATM,77,258980,866730,1125710
2019-12-26,Big Street ATM,134,507240,1300340,1807580
2019-12-27,Big Street ATM,122,560820,1452650,2013470
2019-12-28,Big Street ATM,135,805510,1555850,2361360
2019-12-29,Big Street ATM,128,1125210,1178300,2303510
2019-12-30,Big Street ATM,156,696120,1695760,2391880
2019-12-31,Big Street ATM,155,1222100,1934390,3156490
